"date_report","c_daily","d_daily","r_cum","t_cum","c_cum","d_cum","a_cum","r_lag","r_daily"
2020-07-04,221,8,68990,3055631,107062,8720,29352,68693,297
2020-07-05,205,9,69239,3080845,107267,8729,29299,68990,249
2020-07-06,429,9,69570,3125151,107696,8738,29388,69239,331
2020-07-07,204,17,69883,3171251,107900,8755,29262,69570,313
2020-07-08,313,22,70247,3209536,108213,8777,29189,69883,364
2020-07-09,322,10,70574,3254717,108535,8787,29174,70247,327
2020-07-10,324,14,70901,3302652,108859,8801,29157,70574,327
2020-07-11,173,8,71266,3341184,109032,8809,28957,70901,365
2020-07-12,201,8,71467,3367890,109233,8817,28949,71266,201
2020-07-13,680,10,71841,3427432,109913,8827,29245,71467,374
2020-07-14,303,9,72170,3474275,110216,8836,29210,71841,329
2020-07-15,343,12,72485,3517262,110559,8848,29226,72170,315
2020-07-16,447,18,72836,3567029,111006,8866,29304,72485,351
2020-07-17,468,8,96689,3620884,111474,8874,5911,72836,23853
2020-07-18,363,8,96909,3661746,111837,8882,6046,96689,220
2020-07-19,319,4,97051,3700101,112156,8886,6219,96909,142
2020-07-20,810,5,97474,3766446,112966,8891,6601,97051,423
2020-07-21,561,6,97757,3812372,113527,8897,6873,97474,283
2020-07-22,514,7,98142,3859418,114041,8904,6995,97757,385
2020-07-23,474,4,98519,3869403,114515,8908,7088,98142,377
2020-07-24,548,7,98873,3924608,115063,8915,7275,98519,354
